,,,,,بيانات على مستوى الحي من تعداد 2015 ,,,,,,,,,,,,,,,,,,,,
GOV_CODE,المحافظة,LUAA_CODE,اللواء,DISTRICT_CODE,القضاء,COLLECTION_CODE,التجمع السكاني,AREA_CODE,المنطقة,QUERTER_CODE,الحي,الفئات العمرية,ذكر _اردني,انثى _اردني,ذكر _سوري,انثى _سوري,ذكر _عراقي,انثى _عراقي,ذكر_فلسطيني,انثى_فلسطيني,ذكر _مصري,انثى _مصري,اخرى _ذكر ,اخرى _انثى,المجموع
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,60-64,90,64,0,4,2,2,0,0,0,0,0,4,166
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,65-69,59,50,6,4,0,0,0,0,0,0,0,0,119
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,70-74,46,40,0,4,0,0,7,0,0,0,0,0,97
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,74-79,17,17,0,0,0,0,0,0,0,0,0,0,34
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,80+,24,30,0,0,0,0,0,0,0,0,4,0,58
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,0-4,258,227,12,20,3,3,0,21,0,27,9,0,580
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,10-14,257,184,0,7,3,3,7,14,0,0,0,9,484
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,15-19,189,195,10,0,0,0,21,35,0,0,0,8,458
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,20-24,200,177,3,4,0,3,28,14,71,0,5,18,523
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,25-29,147,169,0,16,0,2,0,0,133,16,4,47,534
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,30-34,166,175,20,4,0,3,14,7,72,0,0,35,496
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,35-39,135,132,4,4,0,0,28,0,46,0,0,10,359
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,40-44,141,122,0,4,3,0,21,0,8,0,2,0,301
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,45-49,107,121,0,3,0,0,7,0,22,0,7,2,269
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151904,ياجوز,50-54,97,71,3,4,0,0,7,0,16,0,0,0,198
