المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الجنسية,الجنس,LESS THAN 15,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80 ABOVE
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,غير أردني,ذكر,34,305,"1,703","1,484",446,165,55,12,25,0,7,0,0,3,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,أردني,أنثى,198,"4,024","3,216",802,186,77,34,23,0,1,0,0,1,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,أردني,ذكر,25,475,"2,968","2,960",921,179,32,22,3,5,1,3,0,1,2
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,غير أردني,أنثى,142,"1,643",976,307,75,10,0,0,11,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,غير أردني,ذكر,47,248,"1,545","1,363",512,123,43,9,7,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,أردني,أنثى,386,"5,390","5,021","1,273",264,124,62,24,10,6,2,3,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,أردني,ذكر,55,637,"4,366","4,270","1,238",277,83,32,17,11,7,3,10,1,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,غير أردني,أنثى,297,"2,324","1,794",428,71,19,6,11,4,4,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,غير أردني,ذكر,30,601,"2,403","1,804",519,162,46,13,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,أردني,أنثى,23,676,631,149,40,11,4,2,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,أردني,ذكر,2,53,512,537,210,29,18,5,0,1,0,0,0,0,0
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,غير أردني,أنثى,28,129,135,41,24,0,0,0,0,0,0,0,0,0,0
