"","GOV_CODE","GOV_NAME_AR","LUAA_CODE","LUAA_NAME_AR","DISTRICT_CODE","DISTRICT_NAME_AR","COLLECTION_CODE","COLLECTION_NAME_AR","AREA_CODE","AREA_NAME_AR","QUERTER_CODE","QUERTER_NAME_AR","MALE_JORD","FEMALE_JORD","PER_JORD","FAM_JORD","متوسط حجم الاسرة يحسب كما يلي","MALE_OTH","FEMALE_OTH","PER_OTH","FAM_OTH","MALE_SYR","FEMALE_SYR","PER_SYR","FAM_SYR","MALE_PLST","FEMALE_PLST","PER_PLST","FAM_PLST","MALE_EGPT","FEMALE_EGPT","PER_EGPT","FAM_EGPT","MALE_IRQ","FEMALE_IRQ","PER_IRQ","FAM_IRQ","MALE_EMN","FEMALE_EMN","PER_EMN","FAM_EMN","MALE_LYP","FEMALE_LYP","PER_LYP","FAM_LYP","TOT"
"11","11","العاصمة","1101","قصبة عمان","11011","عمان","11011112","راس العين","1101111206","راس العين","110111120602","الزهور",9068,8489,17557,3830,NA,84,129,213,50,2417,2190,4607,999,2268,1722,3990,605,3828,1092,4920,762,73,88,161,47,36,18,54,6,6,0,6,5,31508
"12","11","العاصمة","1105","وادي السير","11051","وادي السير","11051012","بدر الجديدة","1105101215","بدر الجديدة","110510121501","الرباحية",1521,1453,2974,661,NA,0,10,10,4,38,25,63,10,0,0,0,0,73,90,163,26,9,7,16,5,0,0,0,0,0,0,0,0,3226
"13","11","العاصمة","1104","الجامعة","11041","الجامعة","11041013","تلاع العلي وخلدا وام السماق","1104101317","تلاع العلي وخلدا وام السماق","110410131701","السلام",4930,5465,10395,2893,NA,1090,1837,2927,535,780,766,1546,370,441,378,819,163,2300,329,2629,577,2622,2647,5269,1452,117,126,243,53,268,250,518,79,24346
"14","11","العاصمة","1105","وادي السير","11051","وادي السير","11051027","النعير","1105102701","النعير","110510270101","النعير",820,754,1574,363,NA,0,0,0,0,12,24,36,8,84,49,133,17,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1761
"15","11","العاصمة","1102","ماركا","11021","ماركا","11021013","طارق","1102101310","طارق","110210131003","الشهيد الشمالي",17159,16664,33823,7311,NA,291,558,849,183,1640,1719,3359,705,2422,1932,4354,697,1167,432,1599,251,393,318,711,147,6,12,18,8,10,10,20,5,44733
"16","11","العاصمة","1108","الموقر","11081","الموقر","11081013","الفيصلية","1108101301","الفيصلية","110810130101","الفيصلية",4547,4333,8880,1685,NA,23,39,62,12,897,902,1799,313,315,287,602,84,498,252,750,93,31,44,75,9,60,45,105,28,0,0,0,0,12273
"17","11","العاصمة","1102","ماركا","11021","ماركا","11021112","النصر","1102111204","النصر","110211120408","وادي القطار",2419,2042,4461,970,NA,0,0,0,0,56,60,116,33,350,252,602,105,127,26,153,28,2,0,2,0,0,0,0,0,0,0,0,0,5334
"18","11","العاصمة","1104","الجامعة","11041","الجامعة","11041013","تلاع العلي وخلدا وام السماق","1104101317","تلاع العلي وخلدا وام السماق","110410131704","الصالحين",10778,11072,21850,5354,NA,1331,2396,3727,758,1433,1550,2983,636,1127,931,2058,369,5900,785,6685,1261,4376,4671,9047,2321,301,368,669,147,587,449,1036,199,48055
"19","11","العاصمة","1101","قصبة عمان","11011","عمان","11011113","المدينه","1101111301","المدينة","110111130108","العدلية",583,601,1184,311,NA,70,70,140,41,416,420,836,203,70,35,105,17,511,204,715,105,47,44,91,26,6,0,6,4,0,0,0,0,3077
"20","11","العاصمة","1102","ماركا","11021","ماركا","11021013","طارق","1102101310","طارق","110210131002","الخزنة",8670,8476,17146,3689,NA,127,501,628,139,624,652,1276,220,1106,707,1813,290,726,187,913,175,255,252,507,106,15,27,42,10,72,71,143,20,22468
"21","11","العاصمة","1101","قصبة عمان","11011","عمان","11011111","العبدلي","1101111109","العبدلي","110111110904","المدينة الرياضية",6597,6549,13146,3004,NA,384,675,1059,197,816,890,1706,355,826,665,1491,268,1036,453,1489,247,1361,1427,2788,610,228,94,322,33,239,153,392,39,22393
"22","11","العاصمة","1109","ناعور","11092","ام البساتين","11092014","ام الكندم","1109201401","ام الكندم","110920140101","ام الكندم",733,691,1424,319,NA,12,77,89,18,67,51,118,29,7,7,14,6,428,72,500,81,6,11,17,4,9,27,36,3,0,0,0,0,2198
"23","11","العاصمة","1109","ناعور","11091","ناعور","11091024","ابو نقلة","1109102401","ابو نقلة","110910240101","ابو نقلة",798,770,1568,312,NA,10,91,101,18,20,16,36,11,0,14,14,0,230,16,246,18,12,15,27,3,0,0,0,0,0,0,0,0,1992
"24","11","العاصمة","1105","وادي السير","11051","وادي السير","11051013","مرج الحمام","1105101301","مرج الحمام","110510130101","الاول",2199,2012,4211,985,NA,67,223,290,64,632,622,1254,259,238,196,434,53,622,149,771,138,48,50,98,21,9,9,18,3,0,0,0,0,7076
"25","11","العاصمة","1104","الجامعة","11041","الجامعة","11041013","تلاع العلي وخلدا وام السماق","1104101317","تلاع العلي وخلدا وام السماق","110410131707","بركة",10492,10892,21384,5403,NA,871,1874,2745,593,1463,1650,3113,704,1204,917,2121,411,3212,918,4130,849,4907,5108,10015,2530,1331,781,2112,310,698,474,1172,177,46792
"26","11","العاصمة","1104","الجامعة","11041","الجامعة","11041015","شفا بدران","1104101519","شفا بدران","110410151913","الكوم الغربي",709,705,1414,300,NA,19,30,49,8,0,0,0,0,14,7,21,6,8,9,17,3,0,0,0,0,3,3,6,3,0,0,0,0,1507
"27","11","العاصمة","1103","القويسمة","11031","القويسمة","11031013","ام قصير والمقابلين","1103101313","ام قصير والمقابلين والبنيات","110310131308","الحرية",2770,2554,5324,1306,NA,46,122,168,47,43,56,99,30,329,287,616,112,269,63,332,78,60,48,108,29,0,0,0,0,18,12,30,5,6677
"28","11","العاصمة","1103","القويسمة","11031","القويسمة","11031012","خريبة السوق وجاوا واليادودة","1103101212","خريبة السوق وجاوة","110310121209","الاحسان",1477,1349,2826,504,NA,21,27,48,9,342,332,674,122,329,175,504,69,92,51,143,28,0,0,0,0,0,0,0,0,0,0,0,0,4195
"29","11","العاصمة","1101","قصبة عمان","11011","عمان","11011111","العبدلي","1101111109","العبدلي","110111110901","جبل اللويبدة",4951,5142,10093,2780,NA,1688,1916,3604,957,1446,1400,2846,650,441,441,882,175,2408,655,3063,494,323,349,672,199,111,90,201,39,30,18,48,15,21409
"30","11","العاصمة","1104","الجامعة","11041","الجامعة","11041014","اسكان ابو نصير","1104101420","ابو نصير","110410142002","البساله",4273,4236,8509,2039,NA,47,74,121,36,411,419,830,129,357,238,595,94,169,72,241,36,57,62,119,23,4,0,4,0,0,0,0,0,10419
"31","11","العاصمة","1103","القويسمة","11031","القويسمة","11031011","القويسمة والجويدة وابو علندا والرجيب","1103101111","القويسمة وابو علندا","110310111111","ام نوارة",17684,16959,34643,7254,NA,105,132,237,33,898,1000,1898,391,3626,2863,6489,1097,488,233,721,122,38,63,101,26,27,33,60,13,10,0,10,5,44159
"32","11","العاصمة","1105","وادي السير","11051","وادي السير","11051013","مرج الحمام","1105101301","مرج الحمام","110510130103","الثالث",2981,2907,5888,1229,NA,8,67,75,16,339,274,613,111,7,21,28,1,99,72,171,22,0,0,0,0,0,0,0,0,0,0,0,0,6775
