المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الرؤية,,السمع,,المشي,,التذكر أو التركيز,,العناية الشخصية,,التواصل,
,,,,,,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا
,,,,,,SEEING_3,SEEING_4,HEARING_3,HEARING_4,WALKING_3,WALKING_4,CON_3,CON_4,CARE_3,CARE_4,COMM_3,COMM_4
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الجامعة,81,10,73,7,189,38,54,7,49,27,44,17
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الكلية الإسلامية,68,6,31,3,72,18,54,5,39,22,22,15
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,المنصور,10,1,15,0,16,15,9,0,6,2,4,1
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الريان,85,10,66,16,135,48,49,16,59,38,57,22
العاصمة,الجامعة,الجامعة,صويلح,صويلح,ميسلون,57,7,32,4,73,9,36,1,22,8,17,23
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الرحمانية,64,3,23,4,110,20,36,12,28,21,44,7
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحي الشرقي,254,26,147,21,310,71,123,52,85,86,76,52
العاصمة,الجامعة,الجامعة,صويلح,صويلح,البشائر,113,4,38,5,165,29,47,7,94,22,36,26
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الكمالية,257,21,154,29,268,48,111,46,108,37,94,47
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الفضيلة,122,8,58,17,196,57,75,35,71,46,58,36
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحمر,1,0,1,0,1,0,2,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الفروسية,2,0,1,3,4,1,7,0,8,0,4,2
العاصمة,الجامعة,الجامعة,صويلح,صويلح,حدائق الحسين,3,0,3,0,6,0,3,0,3,0,2,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,دابوق,8,6,10,6,14,17,17,6,30,18,13,13
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,السلام,189,18,122,11,188,58,81,10,128,28,82,15
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,ام السماق,41,0,36,7,41,18,36,10,25,15,33,8
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الخالدين,93,14,43,6,104,32,43,15,41,25,34,26
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الصالحين,217,15,128,15,273,102,150,34,100,114,80,76
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشرقي,119,21,75,22,177,61,67,18,55,35,68,30
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشمالي,253,26,155,48,376,101,123,57,151,74,130,63
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,بركة,360,18,177,29,373,88,177,44,151,73,122,49
العاصمة,الجامعة,الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,خلدا,38,4,24,1,95,24,39,5,36,34,31,22
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,السعاده,97,2,36,3,102,20,47,10,31,11,40,13
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,البساله,81,2,42,6,130,26,45,25,30,28,30,18
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الامانه,144,18,43,14,187,46,73,37,70,62,46,30
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,المحبه,60,0,33,0,60,13,32,3,8,7,10,4
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الفاروق,95,11,39,4,154,24,30,11,38,21,52,16
العاصمة,الجامعة,الجامعة,اسكان ابو نصير,ابو نصير,الضياء,7,2,9,0,18,3,8,3,10,4,7,1
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ذهيبة,44,4,29,6,94,27,41,7,37,32,12,11
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ابو القرام,15,0,9,2,16,0,10,1,6,0,7,3
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,المروج,48,2,23,6,81,28,26,15,16,19,12,20
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ياجوز,25,0,34,0,46,22,12,8,17,14,13,1
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,مرج الفرس,3,0,3,0,6,2,7,0,3,2,4,0
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ام بلانة,1,0,0,0,3,2,1,0,2,2,2,0
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,طاب كراع,28,3,22,2,76,14,38,6,32,14,16,13
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الموحدين,10,4,7,0,13,6,3,0,13,2,9,0
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,القصبات,6,3,4,1,12,6,3,4,6,4,3,1
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ام العروق,5,0,2,0,25,5,2,2,1,5,2,1
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,أم حجير,23,5,12,1,53,12,11,6,23,17,21,11
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,عيون الذيب,6,0,11,0,29,7,13,6,10,12,6,6
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الكوم الغربي,0,1,3,0,8,4,3,0,0,2,0,1
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الكوم الشرقي,8,2,7,0,12,5,10,2,6,3,2,4
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,الأمير حمزة,60,2,38,5,51,17,30,6,26,9,19,2
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,ام شطيرات,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,شفا بدران,شفا بدران,غير مسمى,0,0,0,0,1,0,0,0,0,0,0,0
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الروابي,190,29,154,27,398,90,165,68,128,104,92,80
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الصويفية,81,6,76,4,84,27,40,11,30,22,37,14
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الجندويل,225,13,125,15,236,57,117,32,101,50,73,50
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الرونق,205,17,103,13,298,77,146,30,61,77,75,43
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,وادي السير,254,34,93,35,397,71,105,43,93,63,73,57
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الصناعة,33,2,8,7,22,6,13,3,15,4,9,8
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,السهل,71,6,42,3,129,21,32,5,26,19,17,14
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الديار,29,1,26,4,53,20,27,14,28,19,51,43
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الظهير,9,0,2,2,3,3,0,2,1,1,0,2
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الدمينة,2,0,2,0,2,0,2,0,2,0,2,2
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الكرسي,89,6,37,3,128,17,49,9,41,17,34,11
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,ام اذينة الغربي,37,9,32,8,98,39,37,19,39,33,23,19
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الصنوبر,17,0,13,2,27,6,11,2,7,6,6,2
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,الرباحية,15,0,9,1,27,11,6,8,8,9,10,4
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,ام الاسود,8,2,7,7,2,7,4,6,6,6,8,11
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,بلال,17,1,4,1,18,4,14,1,14,0,4,0
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,الغروس,13,2,11,9,29,14,9,6,13,8,6,13
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,السويسة,10,1,8,1,12,1,9,1,10,1,7,3
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,زبدة,8,7,5,5,7,6,1,5,1,5,4,5
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الاول,56,9,33,4,41,19,40,15,20,26,15,21
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الثاني,58,1,28,11,38,25,22,9,8,19,7,7
