المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,أعزب أو عزباء,متزوج او متزوجة,مطلق أو مطلقة ,ارمل او ارملة,منفصل او منفصلة,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاحسان,"1,114","1,478",5,45,3,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الشمالي,"4,450","6,906",155,248,18,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الجنوبي,"4,746","6,502",124,311,18,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الوفاء,"1,271","1,706",13,56,2,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,قباء,"2,029","2,834",30,103,2,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الصفاء,311,180,2,4,0,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,المجد,48,110,1,4,0,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الامل,1,2,0,0,0,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الهداية,96,240,1,5,1,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الربيع,79,119,0,0,0,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,ام قصير,"4,251","6,383",66,238,6,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,المقابلين,"12,015","16,985",267,725,24,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحسنية,"4,111","5,443",103,221,6,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الجنوبي,"2,041","2,784",39,129,5,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الشمالي,"1,687","2,543",40,113,1,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الصحابة,"1,457","1,946",23,78,2,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الكرامة,166,236,4,10,0,,,,,,
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحرية,"1,692","2,868",76,93,5,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الزيتونة,"2,936","3,914",40,120,8,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,ابن عوف,"2,343","2,581",46,106,6,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,البلدية,"9,960","9,265",231,425,28,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,قطنة,"8,582","10,894",236,584,23,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الرشيد,"14,213","17,861",504,"1,127",54,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الصديق,"6,086","8,384",220,570,7,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الجامعة,"9,309","10,965",344,589,47,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الكلية الإسلامية,"3,583","4,408",89,140,7,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,المنصور,"1,317","1,641",10,47,1,,,,,,
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الريان,"7,035","8,903",202,392,16,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,ميسلون,"3,192","4,543",84,242,19,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الرحمانية,"3,651","5,222",148,207,13,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحي الشرقي,"11,265","15,261",230,684,26,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,البشائر,"5,065","7,106",124,343,17,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الكمالية,"9,534","12,806",251,563,42,,,,,,
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الفضيلة,"11,582","11,968",233,643,28,,,,,,
