المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,CASEWHENNAT_CODE=401THEN'أردني'ELSE'غيرأردني'END,CASEWHENQ88=1THEN'ذكر'ELSE'انثى'END,وزارة الصحة,الخدمات الطبية الملكية,المستشفيات الجامعية,وكالة الغوث,تأمين خاص,خدمة صحية مجانية,خارج الأردن,أخرى
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,غير أردني,ذكر,0,0,103,116,346,0,22,70
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,أردني,انثى,"4,420","2,931",165,104,"1,564","1,448",52,233
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,أردني,ذكر,"4,168","2,691",142,79,"1,842","1,649",101,233
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,غير أردني,انثى,0,0,21,549,221,0,45,371
العاصمة,ماركا,ماركا,ماركا,ماركا,حمزة,غير أردني,ذكر,0,0,34,657,563,0,33,686
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,أردني,انثى,"2,664","1,557",123,81,995,866,12,138
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,أردني,ذكر,"2,463","1,457",117,92,"1,282",891,33,114
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,غير أردني,انثى,0,0,7,116,237,0,38,234
العاصمة,ماركا,ماركا,ماركا,ماركا,الزهراء,غير أردني,ذكر,0,0,47,137,358,0,47,302
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,أردني,انثى,292,56,3,91,24,40,0,1
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,أردني,ذكر,301,65,7,93,36,40,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,غير أردني,انثى,0,0,0,70,0,0,0,33
العاصمة,ماركا,ماركا,ماركا,ماركا,المشيرفة,غير أردني,ذكر,0,0,0,70,75,0,0,64
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,أردني,انثى,"1,507",950,45,102,327,416,13,47
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,أردني,ذكر,"1,380",943,56,120,431,420,27,52
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,غير أردني,انثى,0,0,4,76,9,0,0,27
العاصمة,ماركا,ماركا,ماركا,ماركا,حي جديد,غير أردني,ذكر,0,0,7,94,75,0,0,12
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,أردني,انثى,"4,063","1,678",116,"1,547","1,369","1,566",10,75
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,أردني,ذكر,"3,836","1,511",149,"1,674","1,676","1,572",25,65
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,غير أردني,انثى,0,0,7,506,264,0,0,195
العاصمة,ماركا,ماركا,النصر,النصر,الاميرالحسن,غير أردني,ذكر,0,0,7,646,305,0,47,121
العاصمة,ماركا,ماركا,النصر,النصر,جبل النصر,أردني,انثى,"1,993",874,91,135,532,744,1,69
العاصمة,ماركا,ماركا,النصر,النصر,جبل النصر,أردني,ذكر,"1,897",863,79,134,714,784,5,62
العاصمة,ماركا,ماركا,النصر,النصر,جبل النصر,غير أردني,انثى,0,0,7,9,79,0,20,99
العاصمة,ماركا,ماركا,النصر,النصر,جبل النصر,غير أردني,ذكر,0,0,7,16,82,0,8,64
العاصمة,ماركا,ماركا,النصر,النصر,المنارة,أردني,انثى,"4,072","1,271",141,111,"1,358","1,850",20,103
العاصمة,ماركا,ماركا,النصر,النصر,المنارة,أردني,ذكر,"3,985","1,297",136,100,"1,578","1,818",33,70
العاصمة,ماركا,ماركا,النصر,النصر,المنارة,غير أردني,انثى,0,0,7,131,103,0,0,162
العاصمة,ماركا,ماركا,النصر,النصر,المنارة,غير أردني,ذكر,0,0,7,189,136,0,7,140
العاصمة,ماركا,ماركا,النصر,النصر,الربوة,أردني,انثى,"3,708","2,015",129,201,"1,339","1,830",13,119
العاصمة,ماركا,ماركا,النصر,النصر,الربوة,أردني,ذكر,"3,458","2,064",162,170,"1,531","1,843",35,134
العاصمة,ماركا,ماركا,النصر,النصر,الربوة,غير أردني,انثى,0,0,4,91,140,0,16,247
العاصمة,ماركا,ماركا,النصر,النصر,الربوة,غير أردني,ذكر,0,0,23,42,208,0,16,264
العاصمة,ماركا,ماركا,النصر,النصر,الاميرة عالية,أردني,انثى,"3,901","1,044",146,282,"1,308","1,724",28,146
العاصمة,ماركا,ماركا,النصر,النصر,الاميرة عالية,أردني,ذكر,"3,833","1,054",130,332,"1,601","1,795",51,121
العاصمة,ماركا,ماركا,النصر,النصر,الاميرة عالية,غير أردني,انثى,0,0,14,144,131,0,8,188
العاصمة,ماركا,ماركا,النصر,النصر,الاميرة عالية,غير أردني,ذكر,0,0,21,214,271,0,8,84
العاصمة,ماركا,ماركا,النصر,النصر,الصالحية,أردني,انثى,899,935,16,47,259,362,2,39
العاصمة,ماركا,ماركا,النصر,النصر,الصالحية,أردني,ذكر,791,941,12,46,324,322,7,46
العاصمة,ماركا,ماركا,النصر,النصر,الصالحية,غير أردني,انثى,0,0,0,0,9,0,9,65
العاصمة,ماركا,ماركا,النصر,النصر,الصالحية,غير أردني,ذكر,0,0,2,0,26,0,9,41
العاصمة,ماركا,ماركا,النصر,النصر,المغيرات,أردني,انثى,772,569,26,145,122,314,0,46
العاصمة,ماركا,ماركا,النصر,النصر,المغيرات,أردني,ذكر,729,570,23,166,166,321,0,42
العاصمة,ماركا,ماركا,النصر,النصر,المغيرات,غير أردني,انثى,0,0,0,154,60,0,0,51
العاصمة,ماركا,ماركا,النصر,النصر,المغيرات,غير أردني,ذكر,0,0,0,175,82,0,0,14
العاصمة,ماركا,ماركا,النصر,النصر,وادي القطار,أردني,انثى,474,237,5,51,85,154,0,9
