محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي قباء ,7,3,6,2,1,6,7,0
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الامانه,4,5,5,6,2,4,6,0
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي البساله,10,14,6,12,6,3,9,0
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي السعاده,14,7,3,2,4,3,2,0
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي الفاروق,5,15,9,3,2,1,2,0
العاصمة,لواء الجامعة,قضاء الجامعة,اسكان ابو نصير,ابو نصير,حي المحبه,3,4,1,6,0,3,0,1
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,ابن عوف,3,8,0,4,7,1,1,1
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,البلدية,12,4,2,7,14,3,5,2
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الجامعة,6,23,7,9,0,9,3,0
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الرشيد,20,33,10,21,8,14,10,0
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الزيتونة,8,13,4,13,3,4,5,0
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,الصديق,13,18,4,6,4,6,1,0
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,حي جديد,0,0,0,1,0,3,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,خريبة مسلم,0,1,0,0,0,0,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,الجبيهة,الجبيهة,قطنة,16,27,9,5,8,8,21,0
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشرقي,16,26,11,15,5,18,18,0
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,التلاع الشمالي,22,32,9,25,10,18,6,0
العاصمة,لواء الجامعة,قضاء الجامعة,تلاع العلي وخلدا وام السماق,تلاع العلي وخلدا وام السماق,الخالدين,3,11,4,10,3,40,2,0
