محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,مدني,عسكري,جامعات رسميه,خاص
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو علندا,3483,2134,72,420
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الجويدة,2267,937,52,393
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الرجيب,1248,369,20,137
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,العروبة,863,349,22,252
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,القويسمة,4479,1218,99,830
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المعادي,3865,685,114,696
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الشرقي,1253,152,10,49
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الغربي,85,40,0,13
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,النهارية,8159,1116,123,1120
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام الحيران,2839,940,59,407
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام نوارة,5906,835,192,1208
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حطين,2318,451,110,493
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حي جديد,1283,672,24,152
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الحرية,606,146,36,128
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الحسنية,1671,509,50,247
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الصحابة,284,101,24,125
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الكرامة,87,25,0,31
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,المقابلين,6042,2385,147,1038
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,ام قصير,2502,920,79,427
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الطيبة وخريبة السوق,10702,3324,188,2067
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,اليادودة,3103,689,160,573
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حى الوفاء,428,131,2,39
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الابرار,66,7,1,8
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاحسان,290,18,4,29
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الامل,0,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاندلس,2078,364,30,269
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الايمان,770,173,25,138
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي التقوى,256,6,5,974
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الربيع,3,0,0,7
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الصفاء,39,9,4,23
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الفرقان,138,60,3,22
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي المجد,5,11,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الهداية,5,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الجنوبي,2601,932,68,275
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الشمالي,2402,714,78,313
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي غمدان,834,160,20,148
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي قباء ,734,144,45,168
العاصمة,لواء الموقر,قضاء الموقر,الجناب,الجناب,الجناب,45,1,0,0
العاصمة,لواء الموقر,قضاء الموقر,الحاتمية,الحاتمية,الحاتمية,235,278,12,53
العاصمة,لواء الموقر,قضاء الموقر,الحنيفية,الحنيفية,الحنيفية,43,10,0,9
العاصمة,لواء الموقر,قضاء الموقر,الذهيبة الشرقية,الذهيبة الشرقية,الذهيبة الشرقية,784,1322,42,18
العاصمة,لواء الموقر,قضاء الموقر,الزميلات,الزميلات,الزميلات,140,264,6,9
العاصمة,لواء الموقر,قضاء الموقر,الفالج(الرابية),الفالج(الرابية),الفالج(الرابية),7,7,0,0
العاصمة,لواء الموقر,قضاء الموقر,الفيصلية,الفيصلية,الفيصلية,1452,2506,64,21
العاصمة,لواء الموقر,قضاء الموقر,المطبة (المصطبه),المطبة (المصطبه),المطبة (المصطبه),0,0,0,0
العاصمة,لواء الموقر,قضاء الموقر,المنشية,المنشية,المنشية,497,690,29,2
العاصمة,لواء الموقر,قضاء الموقر,الموقر,الموقر,الموقر,1348,800,36,40
العاصمة,لواء الموقر,قضاء الموقر,النقيرة,النقيرة,النقيرة,502,819,26,5
العاصمة,لواء الموقر,قضاء الموقر,ام بطمة,ام بطمة,ام بطمة,616,916,13,13
العاصمة,لواء الموقر,قضاء الموقر,روضة الحسين النموذجية,روضة الحسين النموذجية,روضة الحسين النموذجية,0,0,0,0
العاصمة,لواء الموقر,قضاء الموقر,غزالة,غزالة,غزالة,49,5,0,8
العاصمة,لواء الموقر,قضاء الموقر,مغاير مهنا,مغاير مهنا,مغاير مهنا,394,1038,34,7
العاصمة,لواء الموقر,قضاء رجم الشامي,الذهيبة الغربية,الذهيبة الغربية,الذهيبة الغربية,695,1403,21,29
العاصمة,لواء الموقر,قضاء رجم الشامي,الكتيفه,الكتيفه,الكتيفه,162,151,0,4
العاصمة,لواء الموقر,قضاء رجم الشامي,اللسين,اللسين,اللسين,143,77,1,0
العاصمة,لواء الموقر,قضاء رجم الشامي,الماجدية (زباره),الماجدية (زباره),الماجدية (زباره),16,16,0,0
العاصمة,لواء الموقر,قضاء رجم الشامي,الهاشمية,الهاشمية,الهاشمية,116,140,4,19
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الشرقي,رجم الشامي الشرقي,رجم الشامي الشرقي,340,416,4,17
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الغربي,رجم الشامي الغربي,رجم الشامي الغربي,1235,1777,32,95
العاصمة,لواء الموقر,قضاء رجم الشامي,سالم,سالم,سالم,555,450,13,245
العاصمة,لواء سحاب,قضاء سحاب,البيضاء,البيضاء,البيضاء,272,286,0,40
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الجنوبية,الخشافية الجنوبية,الخشافية الجنوبية,264,355,4,6
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الشمالية,الخشافية الشمالية,الخشافية الشمالية,1359,1917,11,182
العاصمة,لواء سحاب,قضاء سحاب,العبدليه,العبدليه,العبدليه,2101,1711,52,219
العاصمة,لواء سحاب,قضاء سحاب,الماضونة,الماضونة,الماضونة,32,27,0,0
العاصمة,لواء سحاب,قضاء سحاب,المناخر,المناخر,المناخر,212,149,0,0
العاصمة,لواء سحاب,قضاء سحاب,رميدان,رميدان,رميدان,0,0,0,0
العاصمة,لواء سحاب,قضاء سحاب,زملة العليا,زملة العليا,زملة العليا,1,13,0,0
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الاول,4444,3281,84,1148
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثالث,5914,4423,142,1414
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثاني,1399,801,20,1414
