عدد السكان 2004 حسب الفئات العمرية والجنسية,,,,,,,,,,,,,,
محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,age,اردني,سوري,عراقي,فلسطيني,مصري,اخرى,المجموع
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,45-49,218,1,2,0,2,4,227
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,50-54,174,2,2,2,0,2,182
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,55-59,165,1,3,1,0,2,172
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,60-64,137,0,2,3,0,1,143
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,65+,201,2,1,1,0,0,205
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,unspecified,0,0,0,0,0,3,3
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,ام اذينة الغربي,110510111412,0-04,294,9,22,7,17,19,368
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,ام اذينة الغربي,110510111412,05-09,350,12,39,2,6,33,442
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,ام اذينة الغربي,110510111412,10-14,397,13,38,3,3,31,485
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,ام اذينة الغربي,110510111412,15-19,475,12,28,3,10,43,571
